	SVL	Mass
Adercosaurus_vixadnexus	55.0	3.7
Adolfus_africanus	67.0	7.0
Adolfus_alleni	70.0	8.0
Adolfus_jacksoni	90.0	16.7
Adolfus_masavaensis	55.5	4.0
Aeluroglena_cucullata	375.0	9.7
Aeluroscalabotes_felinus	122.0	39.0
Afroablepharus_africanus	47.0	1.9
Afroablepharus_annobonensis	43.0	1.4
Afroablepharus_duruarum	45.0	1.6
Afroablepharus_maculicollis	45.0	1.6
Afroablepharus_seydeli	38.0	0.9
Afroablepharus_wahlbergi	64.0	5.1
Afroablepharus_wilsoni	25.0	0.2
Afroedura_africana	64.0	5.6
Afroedura_amatolica	60.0	4.7
Afroedura_bogerti	50.0	2.8
Afroedura_broadleyi	56.0	3.8
Afroedura_granitica	58.0	4.2
Afroedura_haackei	52.0	3.1
Afroedura_halli	64.2	5.6
Afroedura_hawequensis	83.0	11.4
Afroedura_karroica	64.0	5.6
Afroedura_langi	46.0	2.2
Afroedura_leoloensis	40.5	1.6
Afroedura_loveridgei	59.0	4.4
Afroedura_major	76.0	8.9
Afroedura_maripi	63.0	5.3
Afroedura_marleyi	36.0	1.1
Afroedura_multiporis	67.0	6.3
Afroedura_namaquensis	56.0	3.8
Afroedura_nivaria	66.0	6.1
Afroedura_pienaari	53.0	3.3
Afroedura_pondolia	58.0	4.2
Afroedura_pongola	40.0	1.5
Afroedura_rondavelica	55.0	3.7
Afroedura_rupestris	62.0	5.1
Afroedura_tembulica	57.0	4.0
Afroedura_tirasensis	55.0	3.7
Afroedura_transvaalica	73.0	8.0
Afroedura_waterbergensis	46.0	2.2
Afrogecko_ansorgii	45.0	2.1
Afrogecko_porphyreus	51.0	3.0
Afronatrix_anoscopus	750.0	109.7
Afrotyphlops_angeli	365.0	28.2
Afrotyphlops_angolensis	660.0	251.5
Afrotyphlops_anomalus	540.0	119.9
Afrotyphlops_bibronii	484.0	80.0
Afrotyphlops_blanfordii	343.0	22.4
Afrotyphlops_brevis	765.0	433.9
Afrotyphlops_congestus	765.0	433.9
Afrotyphlops_decorosus	505.0	93.6
Afrotyphlops_elegans	420.0	47.4
Afrotyphlops_fornasinii	180.0	2.1
Afrotyphlops_gierrai	480.0	77.6
Afrotyphlops_kaimosae	215.0	4.0
Afrotyphlops_liberiensis	800.0	511.8
Afrotyphlops_lineolatus	640.0	224.5
Afrotyphlops_manni	360.0	26.8
Afrotyphlops_mucruso	950.0	965.5
Afrotyphlops_nanus	125.0	0.5
Afrotyphlops_nigrocandidus	573.0	149.2
Afrotyphlops_obtusus	372.0	30.3
Afrotyphlops_punctatus	660.0	251.5
Afrotyphlops_rondoensis	370.0	29.7
Afrotyphlops_schlegelii	900.0	790.7
Afrotyphlops_schmidti	605.0	182.4
Afrotyphlops_steinhausi	620.0	199.7
Afrotyphlops_tanganicanus	390.0	36.0
Afrotyphlops_usambaricus	605.0	182.4
Agama_aculeata	118.0	54.4
Agama_africana	120.0	58.9
Agama_agama	150.0	117.7
Agama_anchietae	140.0	95.0
Agama_armata	94.0	27.6
Agama_atra	140.0	95.0
Agama_bocourti	80.0	16.7
Agama_boensis	81.0	17.4
Agama_bottegi	120.0	58.9
Agama_boueti	110.0	44.9
Agama_boulengeri	140.0	95.0
Agama_caudospinosa	165.0	158.2
Agama_cristata	130.0	75.5
Agama_doriae	115.0	51.6
Agama_etoshae	75.0	13.7
Agama_finchi	118.2	56.2
Agama_gracilimembris	57.6	6.0
Agama_hartmanni	92.0	25.8
Agama_hispida	134.0	82.9
Agama_hulbertorum	84.9	20.1
Agama_impalearis	134.0	82.9
Agama_insularis	123.0	63.6
Agama_kaimosae	144.0	103.7
Agama_kirkii	115.0	51.6
Agama_knobeli	110.0	44.9
Agama_lanzai	102.5	36.1
Agama_lebretoni	142.0	99.3
Agama_lionotus	145.0	105.9
Agama_lucyae	58.5	6.3
Agama_montana	94.0	27.6
Agama_mossambica	120.0	58.9
Agama_mucosoensis	126.0	68.5
Agama_mwanzae	160.0	143.8
Agama_parafricana	101.0	34.5
Agama_paragama	110.0	44.9
Agama_persimilis	64.0	8.4
Agama_planiceps	148.0	112.9
Agama_robecchii	137.0	88.8
Agama_rueppelli	95.0	28.5
Agama_sankaranica	85.0	20.2
Agama_somalica	102.8	36.4
Agama_spinosa	126.0	68.5
Agama_sylvana	105.0	38.9
Agama_tassiliensis	134.0	82.9
Agama_turuensis	140.0	95.0
Agama_weidholzi	65.0	8.8
Agamodon_anguliceps	200.0	8.2
Agamodon_arabicus	130.0	2.3
Agamodon_compressus	103.0	1.2
Agamura_persica	77.0	9.3
Agkistrodon_bilineatus	1380.0	1330.6
Agkistrodon_contortrix	1350.0	1248.2
Agkistrodon_howardgloydi	960.0	462.8
Agkistrodon_piscivorus	1892.0	3333.0
Agkistrodon_russeolus	1050.0	600.7
Agkistrodon_taylori	960.0	462.8
Ahaetulla_dispar	788.0	64.0
Ahaetulla_fasciolata	1690.0	444.2
Ahaetulla_fronticincta	980.0	111.4
Ahaetulla_mycterizans	1080.0	142.5
Ahaetulla_nasuta	2000.0	681.3
Ahaetulla_perroteti	590.0	30.7
Ahaetulla_prasina	1970.0	655.6
Ahaetulla_pulverulenta	1730.0	471.4
Ailuronyx_seychellensis	116.0	28.7
Ailuronyx_tachyscopaeus	85.0	12.2
Ailuronyx_trachygaster	172.0	85.3
Aipysurus_apraefrontalis	600.0	73.8
Aipysurus_duboisii	700.0	106.9
Aipysurus_eydouxii	1000.0	252.3
Aipysurus_foliosquama	600.0	73.8
Aipysurus_fuscus	600.0	73.8
Aipysurus_laevis	2000.0	1338.4
Aipysurus_mosaicus	845.0	168.2
Aipysurus_tenuis	1020.0	264.7
Alexandresaurus_camacan	70.0	8.2
Algyroides_fitzingeri	45.0	2.2
Algyroides_marchi	53.0	3.5
Algyroides_moreoticus	50.0	3.0
Algyroides_nigropunctatus	70.0	8.0
Alinea_berengerae	100.2	21.7
Alinea_lanceolata	93.8	17.5
Alinea_luciae	109.0	28.4
Alinea_pergravis	90.9	15.8
Alluaudina_bellyi	447.0	15.5
Alluaudina_mocquardi	500.0	21.3
Alopoglossus_angulatus	64.0	6.1
