	SVL	Mass
Crotalus_atrox	2337.0	6163.1
Crotalus_basiliscus	2045.0	4179.4
Crotalus_campbelli	569.0	101.0
Crotalus_catalinensis	847.0	321.5
Crotalus_cerastes	840.0	313.8
Crotalus_cerberus	1032.0	571.2
Crotalus_culminatus	1680.0	2358.6
Crotalus_durissus	1800.0	2883.0
Crotalus_enyo	890.0	371.3
Crotalus_ericsmithi	540.0	86.7
Crotalus_horridus	1892.0	3333.0
Crotalus_intermedius	570.0	101.5
Crotalus_lannomi	638.0	140.9
Crotalus_lepidus	840.0	313.8
Crotalus_mitchellii	1370.0	1302.7
Crotalus_molossus	1370.0	1302.7
Crotalus_oreganus	1625.0	2140.8
Crotalus_ornatus	1300.0	1266.3
Crotalus_polystictus	1000.0	521.2
Crotalus_pricei	670.0	162.5
Crotalus_pusillus	682.0	171.1
Crotalus_ravus	700.0	184.6
Crotalus_ruber	1650.0	2238.1
Crotalus_scutulatus	1400.0	1387.5
Crotalus_simus	1800.0	2883.0
Crotalus_stejnegeri	724.0	203.6
Crotalus_stephensi	1320.0	1169.1
Crotalus_tancitarensis	410.0	38.9
Crotalus_tigris	910.0	396.1
Crotalus_tlaloci	521.0	78.2
Crotalus_totonacus	1800.0	2883.0
Crotalus_transversus	465.0	56.1
Crotalus_triseriatus	683.0	171.9
Crotalus_tzabcan	1555.0	1883.4
Crotalus_viridis	1650.0	2238.1
Crotalus_willardi	670.0	162.5
Crotaphopeltis_barotseensis	700.0	47.4
Crotaphopeltis_braestrupi	670.0	42.4
Crotaphopeltis_degeni	600.0	32.0
Crotaphopeltis_hippocrepis	750.0	56.5
Crotaphopeltis_hotamboeia	800.0	66.5
Crotaphopeltis_tornieri	630.0	36.3
Crotaphytus_antiquus	108.6	46.4
Crotaphytus_bicinctores	117.0	52.1
Crotaphytus_collaris	131.0	62.2
Crotaphytus_dickersonae	116.0	51.4
Crotaphytus_grismeri	99.0	40.1
Crotaphytus_insularis	121.0	54.9
Crotaphytus_nebrius	112.0	48.7
Crotaphytus_reticulatus	137.0	66.7
Crotaphytus_vestigium	127.0	59.3
Cryophis_hallbergi	725.0	74.6
Cryptactites_peringueyi	28.3	0.6
Cryptagama_aurita	46.0	3.0
Cryptoblepharus_adamsi	37.3	0.9
Cryptoblepharus_africanus	47.6	2.0
Cryptoblepharus_ahli	50.7	2.4
Cryptoblepharus_aldabrae	45.6	1.7
Cryptoblepharus_ater	48.2	2.0
Cryptoblepharus_australis	46.2	1.8
Cryptoblepharus_balinensis	50.0	2.3
Cryptoblepharus_bitaeniatus	42.5	1.4
Cryptoblepharus_boutonii	58.0	3.7
Cryptoblepharus_buchananii	49.3	2.2
Cryptoblepharus_burdeni	50.0	2.3
Cryptoblepharus_caudatus	48.7	2.1
Cryptoblepharus_cognatus	43.8	1.5
Cryptoblepharus_cursor	43.0	1.4
Cryptoblepharus_cygnatus	44.6	1.6
Cryptoblepharus_daedalos	40.8	1.2
Cryptoblepharus_egeriae	52.0	2.6
Cryptoblepharus_eximius	40.3	1.1
Cryptoblepharus_exochus	40.9	1.2
Cryptoblepharus_fuhni	47.0	1.9
Cryptoblepharus_furvus	47.0	1.9
Cryptoblepharus_gloriosus	43.7	1.5
Cryptoblepharus_gurrmul	44.3	1.6
Cryptoblepharus_juno	43.1	1.4
Cryptoblepharus_keiensis	42.7	1.4
Cryptoblepharus_leschenault	43.9	1.5
Cryptoblepharus_litoralis	55.0	3.1
Cryptoblepharus_megastictus	40.0	1.1
Cryptoblepharus_mertensi	38.5	1.0
Cryptoblepharus_metallicus	47.9	2.0
Cryptoblepharus_nigropunctatus	55.0	3.1
Cryptoblepharus_novaeguineae	42.0	1.3
Cryptoblepharus_novocaledonicus	43.0	1.4
Cryptoblepharus_novohebridicus	37.0	0.9
Cryptoblepharus_ochrus	43.8	1.5
Cryptoblepharus_pannosus	41.5	1.3
Cryptoblepharus_plagiocephalus	47.0	1.9
Cryptoblepharus_poecilopleurus	52.0	2.6
Cryptoblepharus_pulcher	41.7	1.3
Cryptoblepharus_quinquetaeniatus	43.5	1.5
Cryptoblepharus_renschi	50.0	2.3
Cryptoblepharus_richardsi	43.1	1.4
Cryptoblepharus_ruber	47.2	1.9
Cryptoblepharus_rutilus	38.0	0.9
Cryptoblepharus_schlegelianus	40.3	1.1
Cryptoblepharus_tytthos	38.6	1.0
Cryptoblepharus_ustulatus	41.6	1.3
Cryptoblepharus_virgatus	41.0	1.2
Cryptoblepharus_voeltzkowi	42.2	1.3
Cryptoblepharus_wulbu	39.0	1.0
Cryptoblepharus_xenikos	38.0	0.9
Cryptoblepharus_yulensis	41.9	1.3
Cryptoblepharus_zoticus	38.7	1.0
Cryptophis_boschmai	560.0	62.5
Cryptophis_incredibilis	400.0	27.8
Cryptophis_nigrescens	1200.0	391.4
Cryptophis_nigrostriatus	615.0	78.3
Cryptophis_pallidiceps	550.0	59.8
Ctenoblepharys_adspersa	75.0	11.2
Ctenophorus_adelaidensis	53.0	4.7
Ctenophorus_butlerorum	43.0	2.4
Ctenophorus_caudicinctus	105.0	38.9
Ctenophorus_chapmani	52.0	4.4
Ctenophorus_clayi	58.0	6.2
Ctenophorus_cristatus	112.0	47.5
Ctenophorus_decresii	90.0	24.1
Ctenophorus_femoralis	57.0	5.8
Ctenophorus_fionni	96.0	29.4
Ctenophorus_fordi	58.0	6.2
Ctenophorus_gibba	96.0	29.4
Ctenophorus_isolepis	83.0	18.7
Ctenophorus_maculatus	67.0	9.6
Ctenophorus_maculosus	70.0	11.0
Ctenophorus_mckenziei	77.0	14.8
Ctenophorus_mirrityana	90.7	24.7
Ctenophorus_nguyarna	78.4	15.7
Ctenophorus_nuchalis	127.0	70.2
Ctenophorus_ornatus	95.0	28.5
Ctenophorus_parviceps	52.0	4.4
Ctenophorus_pictus	74.9	13.6
Ctenophorus_reticulatus	108.0	42.4
Ctenophorus_rufescens	97.0	30.4
Ctenophorus_salinarum	77.9	15.4
Ctenophorus_scutulatus	115.0	51.6
Ctenophorus_tjantjalka	75.0	13.7
Ctenophorus_vadnappa	90.0	24.1
Ctenophorus_yinnietharra	87.0	21.7
Ctenosaura_acanthura	369.4	2150.8
Ctenosaura_alfredschmidti	173.0	225.7
Ctenosaura_bakeri	315.0	1339.6
Ctenosaura_clarki	250.0	674.0
Ctenosaura_conspicuosa	304.0	1205.3
Ctenosaura_defensor	155.0	162.8
Ctenosaura_flavidorsalis	185.0	275.4
Ctenosaura_hemilopha	400.0	2724.7
Ctenosaura_macrolopha	212.0	412.9
Ctenosaura_melanosterna	322.0	1430.0
Ctenosaura_nolascensis	285.0	994.9
Ctenosaura_oaxacana	170.0	214.2
Ctenosaura_oedirhina	270.0	847.3
Ctenosaura_palearis	310.0	1277.4
Ctenosaura_pectinata	397.0	2664.4
Ctenosaura_quinquecarinata	200.0	347.3
Ctenosaura_similis	490.0	4980.4
Ctenotus_agrestis	75.0	8.5
Ctenotus_alacer	67.4	6.0
Ctenotus_alleni	93.0	17.0
Ctenotus_allotropis	55.0	3.1
Ctenotus_angusticeps	74.0	8.1
Ctenotus_aphrodite	70.0	6.8
Ctenotus_arcanus	90.0	15.3
Ctenotus_ariadnae	64.3	5.1
Ctenotus_arnhemensis	55.1	3.1
Ctenotus_astarte	82.0	11.3
Ctenotus_astictus	51.9	2.6
Ctenotus_atlas	75.0	8.5
Ctenotus_australis	110.0	29.3
Ctenotus_borealis	121.0	39.8
Ctenotus_brachyonyx	83.0	11.8
Ctenotus_brevipes	60.0	4.1
Ctenotus_brooksi	57.0	3.5
Ctenotus_burbidgei	58.0	3.7
Ctenotus_calurus	50.0	2.3
Ctenotus_capricorni	65.0	5.4
Ctenotus_catenifer	58.0	3.7
Ctenotus_coggeri	87.0	13.7
Ctenotus_colletti	45.0	1.6
Ctenotus_decaneurus	54.5	3.0
Ctenotus_delli	63.0	4.8
Ctenotus_dux	66.5	5.4
Ctenotus_ehmanni	41.0	1.2
Ctenotus_essingtonii	73.0	7.8
Ctenotus_eurydice	76.6	9.1
Ctenotus_eutaenius	90.0	15.3
Ctenotus_fallens	101.0	22.2
Ctenotus_gagudju	54.0	2.9
Ctenotus_gemmula	60.0	4.1
Ctenotus_grandis	122.0	40.9
Ctenotus_greeri	65.0	5.4
Ctenotus_halysis	58.5	3.8
Ctenotus_hanloni	73.3	7.9
Ctenotus_hebetior	60.0	4.1
Ctenotus_helenae	101.0	22.2
Ctenotus_hilli	50.0	2.3
Ctenotus_iapetus	68.0	6.2
Ctenotus_impar	66.0	5.6
Ctenotus_ingrami	84.0	12.3
Ctenotus_inornatus	95.0	18.2
Ctenotus_joanae	86.0	13.2
Ctenotus_kurnbudj	56.0	3.3
Ctenotus_labillardieri	76.0	8.9
Ctenotus_lancelini	87.0	13.7
Ctenotus_lateralis	85.0	12.7
Ctenotus_leae	62.0	4.6
Ctenotus_leonhardii	79.0	10.1
Ctenotus_maryani	55.0	3.1
Ctenotus_mastigura	88.0	14.2
Ctenotus_mesotes	41.5	1.3
Ctenotus_militaris	65.0	5.4
Ctenotus_mimetes	82.0	11.3
Ctenotus_monticola	65.0	5.4
Ctenotus_nasutus	46.0	1.8
Ctenotus_nigrilineatus	49.0	2.2
Ctenotus_nullum	79.0	10.1
Ctenotus_olympicus	75.0	8.5
Ctenotus_ora	60.0	4.1
Ctenotus_orientalis	82.0	11.3
Ctenotus_pallescens	45.0	1.6
Ctenotus_pantherinus	126.0	45.4
Ctenotus_piankai	60.0	4.1
Ctenotus_pulchellus	85.0	12.7
Ctenotus_quattuordecimlineatus	71.0	7.1
Ctenotus_quinkan	81.0	10.9
Ctenotus_quirinus	64.9	5.3
Ctenotus_rawlinsoni	80.0	10.5
Ctenotus_regius	83.0	11.8
Ctenotus_rimacolus	95.0	18.2
Ctenotus_robustus	125.0	44.3
Ctenotus_rosarium	43.8	1.5
Ctenotus_rubicundus	101.0	22.2
Ctenotus_rufescens	45.0	1.6
Ctenotus_rutilans	53.0	2.8
Ctenotus_saxatilis	101.0	22.2
Ctenotus_schevilli	85.0	12.7
Ctenotus_schomburgkii	57.0	3.5
Ctenotus_septenarius	72.0	7.5
Ctenotus_serotinus	50.0	2.3
Ctenotus_serventyi	57.0	3.5
Ctenotus_severus	91.0	15.9
Ctenotus_spaldingi	105.0	25.2
Ctenotus_storri	40.0	1.1
Ctenotus_strauchii	63.0	4.8
Ctenotus_striaticeps	50.0	2.3
Ctenotus_stuarti	54.0	2.9
Ctenotus_taeniolatus	89.0	14.8
Ctenotus_tanamiensis	95.0	18.2
Ctenotus_tantillus	46.4	1.8
Ctenotus_terrareginae	90.0	15.3
Ctenotus_uber	82.0	11.3
Ctenotus_vagus	43.9	1.5
Ctenotus_vertebralis	55.0	3.1
Ctenotus_xenopleura	50.0	2.3
Ctenotus_youngsoni	84.0	12.3
Ctenotus_zastictus	60.0	4.1
Ctenotus_zebrilla	40.0	1.1
Cubophis_brooksi	1360.0	114.0
Cubophis_cantherigerus	1120.0	389.1
Cubophis_caymanus	1333.0	607.7
Cubophis_fuscicauda	700.0	116.8
Cubophis_ruttyi	840.0	186.2
Cubophis_vudii	840.0	186.2
Cyclocorus_lineatus	503.0	20.5
Cyclocorus_nuchalis	444.0	14.9
Cyclodomorphus_branchialis	120.0	38.8
Cyclodomorphus_casuarinae	174.0	128.7
Cyclodomorphus_celatus	121.0	39.8
Cyclodomorphus_maxima	232.0	326.0
Cyclodomorphus_melanops	132.0	52.8
Cyclodomorphus_michaeli	174.0	128.7
Cyclodomorphus_praealtus	126.0	45.4
Cyclodomorphus_venustus	101.5	22.6
Cyclophiops_doriae	910.0	92.3
Cyclophiops_hamptoni	1070.0	139.2
Cyclophiops_herminae	850.0	77.6
Cyclophiops_major	1200.0	186.2
Cyclophiops_multicinctus	1070.0	139.2
Cyclophiops_semicarinatus	800.0	66.5
Cyclotyphlops_deharvengi	150.0	1.1
Cyclura_carinata	510.0	5609.2
Cyclura_collei	428.0	3331.6
Cyclura_cornuta	640.0	11014.6
Cyclura_cychlura	655.0	11799.7
Cyclura_lewisi	550.0	7020.3
Cyclura_nubila	750.0	17647.5
Cyclura_pinguis	560.0	7406.5
Cyclura_ricordi	485.0	4830.9
Cyclura_rileyi	395.0	2624.7
Cylindrophis_aruensis	300.0	14.4
Cylindrophis_boulengeri	550.0	82.4
Cylindrophis_engkariensis	485.0	57.3
Cylindrophis_isolepis	430.0	40.5
Cylindrophis_lineatus	982.0	437.8
Cylindrophis_maculatus	350.0	22.4
Cylindrophis_melanotus	720.0	179.0
Cylindrophis_opisthorhodus	320.0	17.3
Cylindrophis_ruffus	1000.0	461.3
Cylindrophis_yamdena	628.0	120.7
Cynisca_bifrontalis	131.0	0.7
Cynisca_chirioi	290.0	16.6
Cynisca_degrysi	107.0	0.3
Cynisca_feae	168.0	1.9
Cynisca_gansi	158.5	1.5
Cynisca_haugi	124.0	0.6
Cynisca_ivoirensis	134.0	0.8
Cynisca_kigomensis	170.0	2.0
Cynisca_kraussi	160.0	1.5
Cynisca_leonina	155.0	1.3
Cynisca_leucura	258.0	10.4
Cynisca_liberiensis	158.0	1.5
Cynisca_manei	129.0	0.6
Cynisca_muelleri	175.0	2.2
Cynisca_nigeriensis	173.0	2.1
Cynisca_oligopholis	147.0	1.1
Cynisca_rouxae	124.0	0.6
Cynisca_schaeferi	197.0	3.5
Cynisca_senegalensis	138.0	0.8
Cynisca_williamsi	161.0	1.6
Cyrtodactylus_aaroni	100.5	19.3
Cyrtodactylus_adleri	68.5	6.7
Cyrtodactylus_adorus	123.0	33.8
Cyrtodactylus_aequalis	90.1	14.3
Cyrtodactylus_agusanensis	106.0	22.4
Cyrtodactylus_albofasciatus	76.1	9.0
Cyrtodactylus_angularis	95.0	16.6
Cyrtodactylus_annandalei	55.3	3.7
Cyrtodactylus_annulatus	80.5	10.5
Cyrtodactylus_arcanus	92.0	15.1
Cyrtodactylus_astrum	108.3	23.8
Cyrtodactylus_aurensis	99.4	18.8
Cyrtodactylus_auribalteatus	98.1	18.1
Cyrtodactylus_australotitiwangsaensis	120.1	31.6
Cyrtodactylus_ayeyarwadyensis	78.0	9.6
Cyrtodactylus_badenensis	74.1	8.3
Cyrtodactylus_baluensis	98.0	18.0
Cyrtodactylus_batik	114.6	27.8
Cyrtodactylus_batucolus	75.2	8.7
Cyrtodactylus_bichnganae	99.9	19.0
Cyrtodactylus_bidoupimontis	86.3	12.7
Cyrtodactylus_bintangrendah	114.4	27.7
Cyrtodactylus_bintangtinggi	111.1	25.5
Cyrtodactylus_biordinis	94.0	16.1
Cyrtodactylus_boreoclivus	109.0	24.2
Cyrtodactylus_brevidactylus	88.0	13.4
Cyrtodactylus_brevipalmatus	73.0	8.0
Cyrtodactylus_buchardi	65.0	5.8
Cyrtodactylus_bugiamapensis	79.0	9.9
Cyrtodactylus_caovansungi	94.0	16.1
Cyrtodactylus_capreoloides	84.0	11.8
Cyrtodactylus_cattienensis	69.0	6.8
Cyrtodactylus_cavernicolus	81.0	10.7
Cyrtodactylus_celatus	38.4	1.4
Cyrtodactylus_chanhomeae	78.8	9.9
Cyrtodactylus_chauquangensis	99.3	18.7
Cyrtodactylus_chrysopylos	79.1	10.0
Cyrtodactylus_collegalensis	55.0	3.7
Cyrtodactylus_condorensis	82.9	11.4
Cyrtodactylus_consobrinoides	50.0	2.8
Cyrtodactylus_consobrinus	125.0	35.3
Cyrtodactylus_cracens	105.0	21.8
Cyrtodactylus_cryptus	92.5	15.4
Cyrtodactylus_cucdongensis	65.9	6.0
Cyrtodactylus_cucphuongensis	96.0	17.0
Cyrtodactylus_darmandvillei	86.0	12.6
Cyrtodactylus_dati	70.1	7.2
Cyrtodactylus_deccanensis	85.0	12.2
Cyrtodactylus_derongo	120.0	31.6
Cyrtodactylus_deveti	105.0	21.8
Cyrtodactylus_doisuthep	90.5	14.5
Cyrtodactylus_dumnuii	84.2	11.9
Cyrtodactylus_durio	79.3	10.1
Cyrtodactylus_edwardtaylori	95.5	16.8
Cyrtodactylus_eisenmanae	89.2	13.9
Cyrtodactylus_elok	82.1	11.1
Cyrtodactylus_epiroticus	134.0	42.8
Cyrtodactylus_erythrops	80.0	10.3
Cyrtodactylus_fasciolatum	82.0	11.0
Cyrtodactylus_feae	47.0	2.4
Cyrtodactylus_fraenatus	100.0	19.1
Cyrtodactylus_fumosus	76.0	8.9
Cyrtodactylus_gansi	63.0	5.3
Cyrtodactylus_gordongekkoi	73.0	8.0
Cyrtodactylus_grismeri	95.0	16.6
Cyrtodactylus_guakanthanensis	82.2	11.1
Cyrtodactylus_gubaot	100.1	19.1
Cyrtodactylus_gubernatoris	53.0	3.3
Cyrtodactylus_halmahericus	73.0	8.0
Cyrtodactylus_hikidai	102.2	20.3
Cyrtodactylus_hontreensis	88.9	13.8
Cyrtodactylus_hoskini	112.0	26.1
Cyrtodactylus_huongsonensis	89.8	14.2
Cyrtodactylus_huynhi	79.8	10.2
Cyrtodactylus_ingeri	80.2	10.4
Cyrtodactylus_interdigitalis	80.0	10.3
Cyrtodactylus_intermedius	92.0	15.1
Cyrtodactylus_inthanon	87.3	13.1
Cyrtodactylus_irianjayaensis	172.0	85.3
Cyrtodactylus_irregularis	90.0	14.3
Cyrtodactylus_jaegeri	68.5	6.7
Cyrtodactylus_jambangan	81.5	10.8
Cyrtodactylus_jarakensis	67.0	6.3
Cyrtodactylus_jarujini	90.0	14.3
Cyrtodactylus_jelawangensis	119.8	31.4
Cyrtodactylus_jellesmae	79.0	9.9
Cyrtodactylus_jeyporensis	60.2	4.7
Cyrtodactylus_khasiensis	90.0	14.3
Cyrtodactylus_khelangensis	95.3	16.7
Cyrtodactylus_kimberleyensis	45.1	2.1
Cyrtodactylus_kingsadai	94.0	16.1
Cyrtodactylus_klugei	143.0	51.2
Cyrtodactylus_kunyai	87.9	13.4
Cyrtodactylus_laevigatus	47.0	2.4
Cyrtodactylus_langkawiensis	99.8	19.0
Cyrtodactylus_lateralis	85.0	12.2
Cyrtodactylus_leegrismeri	92.0	15.1
Cyrtodactylus_lekaguli	103.5	21.0
Cyrtodactylus_lomyenensis	71.2	7.5
Cyrtodactylus_loriae	156.0	65.1
Cyrtodactylus_louisiadensis	138.0	46.4
Cyrtodactylus_macrotuberculatus	120.1	31.6
Cyrtodactylus_majulah	68.5	6.7
Cyrtodactylus_malayanus	117.8	30.0
Cyrtodactylus_malcolmsmithi	55.0	3.7
Cyrtodactylus_mamanwa	92.0	15.2
Cyrtodactylus_mandalayensis	61.7	5.0
Cyrtodactylus_markuscombaii	72.2	7.8
Cyrtodactylus_marmoratus	82.0	11.0
Cyrtodactylus_martini	96.2	17.1
Cyrtodactylus_martinstolli	82.0	11.0
Cyrtodactylus_matsuii	105.0	21.8
Cyrtodactylus_mcdonaldi	105.0	21.8
Cyrtodactylus_medioclivus	103.4	20.9
Cyrtodactylus_metropolis	82.2	11.1
Cyrtodactylus_mimikanus	103.0	20.7
Cyrtodactylus_minor	72.0	7.7
Cyrtodactylus_murua	113.0	26.7
Cyrtodactylus_nebulosus	54.0	3.5
Cyrtodactylus_nepalensis	72.6	7.9
Cyrtodactylus_nigriocularis	107.5	23.3
Cyrtodactylus_novaeguineae	172.0	85.3
Cyrtodactylus_nuaulu	88.4	13.6
Cyrtodactylus_oldhami	77.0	9.3
Cyrtodactylus_pageli	89.0	13.8
Cyrtodactylus_pantiensis	77.2	9.3
Cyrtodactylus_papilionoides	93.0	15.6
Cyrtodactylus_papuensis	69.6	7.0
Cyrtodactylus_paradoxus	84.0	11.8
Cyrtodactylus_payacola	67.7	6.5
Cyrtodactylus_peguensis	85.0	12.2
Cyrtodactylus_philippinicus	97.6	17.8
Cyrtodactylus_phongnhakebangensis	104.4	21.5
Cyrtodactylus_phuketensis	114.7	27.9
Cyrtodactylus_phuocbinhensis	60.4	4.7
Cyrtodactylus_phuquocensis	85.8	12.5
Cyrtodactylus_pronarus	132.5	41.5
Cyrtodactylus_pseudoquadrivirgatus	87.5	13.2
Cyrtodactylus_pubisulcus	77.0	9.3
Cyrtodactylus_puhuensis	79.2	10.0
Cyrtodactylus_pulchellus	125.2	35.5
Cyrtodactylus_quadrivirgatus	75.3	8.7
Cyrtodactylus_ramboda	99.1	18.6
Cyrtodactylus_ranongensis	59.6	4.6
Cyrtodactylus_redimiculus	94.2	16.2
Cyrtodactylus_robustus	161.0	71.0
Cyrtodactylus_roesleri	75.3	8.7
Cyrtodactylus_rubidus	80.0	10.3
Cyrtodactylus_russelli	116.0	28.7
Cyrtodactylus_sadleiri	88.0	13.4
Cyrtodactylus_saiyok	61.0	4.9
Cyrtodactylus_salomonensis	142.0	50.2
Cyrtodactylus_samroiyot	66.9	6.3
Cyrtodactylus_sanook	79.5	10.1
Cyrtodactylus_semenanjungensis	71.1	7.4
Cyrtodactylus_semiadii	47.1	2.4
Cyrtodactylus_seribuatensis	75.0	8.6
Cyrtodactylus_sermowaiensis	93.5	15.8
Cyrtodactylus_serratus	160.0	69.8
Cyrtodactylus_sharkari	100.1	19.1
Cyrtodactylus_slowinskii	108.0	23.6
Cyrtodactylus_soba	105.7	22.2
Cyrtodactylus_spinosus	83.2	11.5
Cyrtodactylus_stresemanni	95.5	16.8
Cyrtodactylus_subsolanus	104.6	21.6
Cyrtodactylus_sumonthai	80.7	10.6
Cyrtodactylus_sumuroi	84.9	12.1
Cyrtodactylus_surin	80.4	10.4
Cyrtodactylus_sworderi	80.1	10.3
Cyrtodactylus_takouensis	81.1	10.7
Cyrtodactylus_tamaiensis	90.0	14.3
Cyrtodactylus_tautbatorum	68.7	6.8
Cyrtodactylus_taynguyenensis	85.0	12.2
Cyrtodactylus_tebuensis	84.1	11.8
Cyrtodactylus_teyniei	89.9	14.2
Cyrtodactylus_thirakhupti	80.0	10.3
Cyrtodactylus_thochuensis	86.3	12.7
Cyrtodactylus_thuongae	77.6	9.5
Cyrtodactylus_tibetanus	52.3	3.2
Cyrtodactylus_tigroides	85.0	12.2
Cyrtodactylus_timur	120.5	31.9
Cyrtodactylus_tiomanensis	87.0	13.0
Cyrtodactylus_triedrus	62.0	5.1
Cyrtodactylus_trilatofasciatus	122.2	33.2
Cyrtodactylus_tripartitus	148.0	56.3
Cyrtodactylus_tuberculatus	140.0	48.3
Cyrtodactylus_variegatus	71.0	7.4
Cyrtodactylus_vilaphongi	86.1	12.6
Cyrtodactylus_wakeorum	64.0	5.6
Cyrtodactylus_wallacei	113.6	27.1
Cyrtodactylus_wangkulangkulae	73.9	8.3
Cyrtodactylus_wayakonei	92.5	15.4
Cyrtodactylus_wetariensis	70.0	7.1
Cyrtodactylus_yakhuna	52.0	3.1
Cyrtodactylus_yangbayensis	92.3	15.3
Cyrtodactylus_yoshii	103.5	21.0
Cyrtodactylus_zhaoermii	59.8	4.6
Cyrtodactylus_ziegleri	93.0	15.6
Cyrtodactylus_zugi	159.0	68.6
Cyrtopodion_agamuroides	50.0	2.8
Cyrtopodion_aravallensis	51.0	3.0
Cyrtopodion_baigii	46.5	2.3
Cyrtopodion_battalense	64.0	5.6
Cyrtopodion_belaense	40.5	1.6
Cyrtopodion_brevipes	44.0	2.0
Cyrtopodion_dattanense	62.0	5.1
Cyrtopodion_fortmunroi	50.0	2.8
Cyrtopodion_gastrophole	50.0	2.8
Cyrtopodion_golubevi	59.0	4.4
Cyrtopodion_himalayanum	76.0	8.9
Cyrtopodion_hormozganum	46.0	2.2
Cyrtopodion_indusoani	54.0	3.5
Cyrtopodion_kachhense	53.0	3.3
Cyrtopodion_kiabii	46.9	2.4
Cyrtopodion_kirmanense	51.0	3.0
Cyrtopodion_kohsulaimanai	59.0	4.4
Cyrtopodion_lawderanum	55.0	3.7
Cyrtopodion_medogense	38.0	1.3
Cyrtopodion_montiumsalsorum	47.2	2.4
Cyrtopodion_persepolense	51.0	3.0
Cyrtopodion_potoharense	52.0	3.1
Cyrtopodion_rhodocauda	64.0	5.6
Cyrtopodion_rohtasfortai	53.0	3.3
Cyrtopodion_scabrum	65.0	5.8
Cyrtopodion_sistanense	57.0	4.0
Cyrtopodion_watsoni	54.0	3.5
Daboia_deserti	1600.0	2046.4
Daboia_mauritanica	1810.0	2929.8
Daboia_palaestinae	1500.0	1696.0
Daboia_russelii	1850.0	3122.3
Daboia_siamensis	1500.0	1696.0
Dactylocnemis_pacificus	100.0	20.4
Dalmatolacerta_oxycephala	70.6	8.2
Dalophia_angolensis	362.0	40.3
Dalophia_ellenbergeri	420.0	73.2
Dalophia_gigantea	705.0	583.0
Dalophia_longicauda	520.0	172.2
Dalophia_luluae	260.0	10.7
Dalophia_pistillum	560.0	231.7
Darevskia_alpina	68.0	7.3
Darevskia_armeniaca	73.0	9.0
Darevskia_bendimahiensis	63.5	6.0
Darevskia_bithynica	68.6	7.5
Darevskia_brauneri	71.0	8.3
Darevskia_caspica	67.4	7.1
Darevskia_caucasica	67.0	7.0
Darevskia_chlorogaster	72.0	8.7
Darevskia_clarkorum	69.0	7.6
Darevskia_daghestanica	58.0	4.6
Darevskia_dahli	64.0	6.1
Darevskia_defilippii	58.0	4.6
Darevskia_derjugini	65.0	6.4
Darevskia_dryada	72.4	8.8
Darevskia_kamii	67.8	7.3
Darevskia_kopetdaghica	56.8	4.3
Darevskia_lindholmi	75.0	9.8
Darevskia_mixta	63.0	5.8
Darevskia_parvula	62.3	5.7
Darevskia_pontica	61.6	5.5
Darevskia_portschinskii	67.0	7.0
Darevskia_praticola	66.0	6.7
Darevskia_raddei	76.0	10.2
Darevskia_rostombekowi	60.0	5.1
Darevskia_rudis	88.5	15.9
Darevskia_sapphirina	57.0	4.4
Darevskia_saxicola	88.0	15.7
Darevskia_schaekeli	56.2	4.2
Darevskia_steineri	71.0	8.3
Darevskia_unisexualis	73.0	9.0
Darevskia_uzzelli	60.0	5.1
Darevskia_valentini	80.0	11.8
Dasia_griffini	117.0	35.7
Dasia_grisea	130.0	50.2
Dasia_haliana	85.0	12.7
Dasia_johnsinghi	91.2	16.0
Dasia_nicobarensis	98.0	20.2
Dasia_olivacea	150.0	79.7
Dasia_semicincta	130.0	50.2
Dasia_subcaerulea	89.5	15.1
Dasia_vittata	96.0	18.9
Dasypeltis_abyssina	304.8	5.7
Dasypeltis_atra	1100.0	149.3
Dasypeltis_confusa	1000.0	117.2
Dasypeltis_fasciata	1150.0	167.2
Dasypeltis_gansi	1020.0	123.3
Dasypeltis_inornata	1000.0	117.2
Dasypeltis_latericia	800.0	66.5
Dasypeltis_medici	1000.0	117.2
Dasypeltis_palmarum	1100.0	149.3
Dasypeltis_parascabra	605.0	32.7
Dasypeltis_sahelensis	620.0	34.8
Dasypeltis_scabra	1160.0	170.9
Deinagkistrodon_acutus	1490.0	1663.3
Delma_australis	93.0	4.2
Delma_borea	98.0	4.9
Delma_butleri	96.0	4.8
Delma_concinna	112.0	5.9
Delma_desmosa	90.0	4.4
Delma_elegans	97.0	4.8
Delma_fraseri	140.0	8.0
Delma_grayii	125.0	6.9
Delma_haroldi	75.0	3.4
Delma_hebesa	79.0	3.7
Delma_impar	100.0	5.0
Delma_inornata	133.0	7.5
Delma_labialis	115.0	6.1
Delma_mitella	200.0	13.1
Delma_molleri	111.0	5.8
Delma_nasuta	112.0	5.9
Delma_pax	98.0	4.9
Delma_petersoni	128.5	7.1
Delma_plebeia	122.0	6.6
Delma_tealei	88.0	4.2
Delma_tincta	92.0	4.5
Delma_torquata	63.0	2.7
Demansia_angusticeps	880.0	185.5
Demansia_calodera	800.0	147.5
Demansia_flagellatio	715.0	112.5
Demansia_olivacea	835.0	163.5
Demansia_papuensis	1650.0	842.3
Demansia_psammophis	1000.0	252.3
Demansia_quaesitor	735.0	120.3
Demansia_reticulata	800.0	147.5
Demansia_rimicola	975.0	237.4
Demansia_rufescens	800.0	147.5
