	year	Area	Country	Genus	Species
Chamaeleo_chamaeleon	1758	Africa	Africa	Chamaeleo	chamaeleon
Naja_nivea	1758	Africa	Africa	Naja	nivea
Natrix_maura	1758	Africa	Algeria	Natrix	maura
Agama_agama	1758	Africa	Cameroon	Agama	agama
Scincus_scincus	1758	Africa	Egypt	Scincus	scincus
Gongylophis_colubrinus	1758	Africa	Egypt	Gongylophis	colubrinus
Eryx_jaculus	1758	Africa	Egypt	Eryx	jaculus
Cerastes_vipera	1758	Africa	Egypt	Cerastes	vipera
Cerastes_cerastes	1758	Africa	Egypt	Cerastes	cerastes
Dolichophis_jugularis	1758	Africa	Egypt	Dolichophis	jugularis
Tarentola_mauritanica	1758	Africa	Morocco	Tarentola	mauritanica
Typhlops_reticulatus	1758	Africa	Somalia	Typhlops	reticulatus
Tetradactylus_seps	1758	Africa	South_Africa	Tetradactylus	seps
Chamaesaura_anguina	1758	Africa	South_Africa	Chamaesaura	anguina
Cordylus_cordylus	1758	Africa	South_Africa	Cordylus	cordylus
Acontias_meleagris	1758	Africa	South_Africa	Acontias	meleagris
Bitis_atropos	1758	Africa	South_Africa	Bitis	atropos
Psammophylax_rhombeatus	1758	Africa	South_africa	Psammophylax	rhombeatus
Homoroselaps_lacteus	1758	Africa	South_Africa	Homoroselaps	lacteus
Lamprophis_aurora	1758	Africa	South_Africa	Lamprophis	aurora
Dasypeltis_scabra	1758	Africa	South_Africa	Dasypeltis	scabra
Pseudaspis_cana	1758	Africa	Southern_Africa	Pseudaspis	cana
Psammophis_sibilans	1758	Africa	Sudan	Psammophis	sibilans
Duberria_lutrix	1758	Africa	Tanzania	Duberria	lutrix
Chalcides_chalcides	1758	Africa	Tunisia	Chalcides	chalcides
Naja_haje	1758	Africa	West_Africa*	Naja	haje
Varanus_niloticus	1766	Africa	Africa	Varanus	niloticus
Scelotes_bipes	1766	Africa	South_Africa	Scelotes	bipes
Chamaeleo_africanus	1768	Africa	Africa	Chamaeleo	africanus
Chalcides_ocellatus	1775	Africa	Egypt	Chalcides	ocellatus
Uromastyx_aegyptia	1775	Africa	Egypt	Uromastyx	aegyptia
Pachydactylus_geitje	1778	Africa	South_Africa	Pachydactylus	geitje
Python_sebae	1789	Africa	Africa	Python	sebae
Podarcis_tiliguerta	1789	Africa	Algeria	Podarcis	tiliguerta
Bradypodion_pumilum	1789	Africa	South_Africa	Bradypodion	pumilum
Hemachatus_haemachatus	1790	Africa	South_Africa	Hemachatus	haemachatus
Varanus_exanthematicus	1792	Africa	Senegal	Varanus	exanthematicus
Ptyodactylus_hasselquistii	1798	Africa	Egypt	Ptyodactylus	hasselquistii
Varanus_albigularis	1802	Africa	Ethiopia	Varanus	albigularis
Bitis_nasicornis	1802	Africa	Inner_Africa	Bitis	nasicornis
Acanthodactylus_boskianus	1802	Africa	Niger	Acanthodactylus	boskianus
Chamaeleo_senegalensis	1802	Africa	Senegal	Chamaeleo	senegalensis
Python_regius	1802	Africa	Senegal	Python	regius
Afrogecko_porphyreus	1802	Africa	South_Africa	Afrogecko	porphyreus
Tetradactylus_tetradactylus	1802	Africa	South_Africa	Tetradactylus	tetradactylus
Scelotes_gronovii	1802	Africa	South_Africa	Scelotes	gronovii
Agama_atra	1802	Africa	South_Africa	Agama	atra
Bitis_cornuta	1803	Africa	South_Africa	Bitis	cornuta
Psammophis_crucifer	1803	Africa	South_africa	Psammophis	crucifer
Trachylepis_vittata	1804	Africa	Egypt	Trachylepis	vittata
Malpolon_monspessulanus	1804	Africa	North_Africa	Malpolon	monspessulanus
Typhlosaurus_caecus	1817	Africa	South_Africa	Typhlosaurus	caecus
Grayia_smithii	1818	Africa	Democtatic_republic_of_Congo	Grayia	smithii
Typhlops_punctatus	1819	Africa	Ghana	Typhlops	punctatus
Chamaeleo_dilepis	1819	Africa	Somalia	Chamaeleo	dilepis
Trapelus_mutabilis	1820	Africa	Libya	Trapelus	mutabilis
Agama_aculeata	1820	Africa	Namibia	Agama	aculeata
Bitis_arietans	1820	Africa	South_Africa	Bitis	arietans
Stenodactylus_sthenodactylus	1823	Africa	Egypt	Stenodactylus	sthenodactylus
Trachylepis_quinquetaeniata	1823	Africa	Egypt	Trachylepis	quinquetaeniata
Mesalina_guttulata	1823	Africa	Egypt	Mesalina	guttulata
Mesalina_rubropunctata	1823	Africa	Egypt	Mesalina	rubropunctata
Acanthodactylus_pardalis	1823	Africa	Egypt	Acanthodactylus	pardalis
Causus_rhombeatus	1823	Africa	South_Africa	Causus	rhombeatus
Lycodonomorphus_rufulus	1823	Africa	South_Africa	Lycodonomorphus	rufulus
Uromastyx_ocellata	1823	Africa	Sudan	Uromastyx	ocellata
Scelotes_sexlineatus	1824	Africa	South_Africa	Scelotes	sexlineatus
Uromastyx_acanthinura	1825	Africa	Morocco	Uromastyx	acanthinura
Tarentola_annularis	1827	Africa	Egypt	Tarentola	annularis
Cyrtopodion_scabrum	1827	Africa	Egypt	Cyrtopodion	scabrum
Hemidactylus_robustus	1827	Africa	Egypt	Hemidactylus	robustus
Acanthodactylus_scutellatus	1827	Africa	Egypt	Acanthodactylus	scutellatus
Macroprotodon_cucullatus	1827	Africa	Egypt	Macroprotodon	cucullatus
Platyceps_florulentus	1827	Africa	Egypt	Platyceps	florulentus
Lamprophis_fuliginosus	1827	Africa	South_Africa	Lamprophis	fuliginosus
Agama_hispida	1827	Africa	South_Africa*	Agama	hispida
Uromastyx_dispar	1827	Africa	Sudan	Uromastyx	dispar
Echis_pyramidum	1827	Africa	Sudan	Echis	pyramidum
Gerrhosaurus_flavigularis	1828	Africa	South_Africa	Gerrhosaurus	flavigularis
Cordylus_cataphractus	1828	Africa	South_Africa	Cordylus	cataphractus
Trachylepis_homalocephala	1828	Africa	South_Africa	Trachylepis	homalocephala
Dispholidus_typus	1828	Africa	South_Africa	Dispholidus	typus
Chalcides_sepsoides	1829	Africa	Egypt	Chalcides	sepsoides
Mesalina_olivieri	1829	Africa	Egypt	Mesalina	olivieri
Cordylus_microlepidotus	1829	Africa	South_Africa	Cordylus	microlepidotus
Cordylus_niger	1829	Africa	South_Africa	Cordylus	niger
Nucras_lalandii	1829	Africa	South_Africa	Nucras	lalandii
Meroles_knoxii	1829	Africa	South_Africa	Meroles	knoxii
Trogonophis_wiegmanni	1830	Africa	Algeria	Trogonophis	wiegmanni
Chamaeleo_oweni	1831	Africa	Equatorial_Guinea	Chamaeleo	oweni
Trachylepis_capensis	1831	Africa	South_Africa	Trachylepis	capensis
Bradypodion_taeniabronchum	1831	Africa	South_Africa	Bradypodion	taeniabronchum
Chamaeleo_namaquensis	1831	Africa	South_Africa	Chamaeleo	namaquensis
Agama_spinosa	1831	Africa	Sudan	Agama	spinosa
Lycophidion_capense	1831	Africa	Tanzania	Lycophidion	capense
Trapelus_pallidus	1834	Africa	Egypt	Trapelus	pallidus
Hemorrhois_nummifer	1834	Africa	Egypt	Hemorrhois	nummifer
Latastia_longicaudata	1834	Africa	Somalia	Latastia	longicaudata
Hemidactylus_flaviviridis	1835	Africa	Eritrea	Hemidactylus	flaviviridis
Pristurus_flavipunctatus	1835	Africa	Ethiopia	Pristurus	flavipunctatus
Saurodactylus_mauritanicus	1836	Africa	Algeria	Saurodactylus	mauritanicus
Lepidothyris_fernandi	1836	Africa	Bioko	Lepidothyris	fernandi
Tarentola_delalandii	1836	Africa	Canary_Islands	Tarentola	delalandii
Psammophis_praeornatus	1837	Africa	Central_African_Republic	Psammophis	praeornatus
Trapelus_savignii	1837	Africa	Egypt	Trapelus	Egypt
Trachylepis_brevicollis	1837	Africa	Eritrea	Trachylepis	brevicollis
Chamaeleo_cristatus	1837	Africa	Gabon	Chamaeleo	cristatus
Hapsidophrys_smaragdina	1837	Africa	Ghana	Hapsidophrys	smaragdina
Dendrophidion_dendrophis	1837	Africa	Guinae	Dendrophidion	dendrophis
Gerrhosaurus_typicus	1837	Africa	Namibia	Gerrhosaurus	typicus
Platyceps_karelini	1838	Africa	Egypt	Platyceps	karelini
Trachylepis_affinis	1838	Africa	Liberia	Trachylepis	affinis
Heliobolus_lugubris	1838	Africa	Namibia	Heliobolus	lugubris
Pedioplanis_undata	1838	Africa	Namibia	Pedioplanis	undata
Meroles_ctenodactylus	1838	Africa	Namibia	Meroles	ctenodactylus
Goggia_lineata	1838	Africa	South_Africa	Goggia	lineata
Tetradactylus_africanus	1838	Africa	South_Africa	Tetradactylus	africanus
Cordylus_polyzonus	1838	Africa	South_Africa	Cordylus	polyzonus
Cordylus_melanotus	1838	Africa	South_Africa	Cordylus	melanotus
Cordylus_capensis	1838	Africa	South_Africa	Cordylus	capensis
Nucras_tessellata	1838	Africa	South_Africa	Nucras	tessellata
Ichnotropis_capensis	1838	Africa	South_Africa	Ichnotropis	capensis
Acanthodactylus_maculatus	1838	Africa	Tunisia	Acanthodactylus	maculatus
Chalcides_mauritanicus	1839	Africa	Algeria	Chalcides	mauritanicus
Gallotia_galloti	1839	Africa	Canary_Islands	Gallotia	galloti
Chioninia_delalandii	1839	Africa	Cape_Verde_Islands	Chioninia	delalandii
Macroscincus_coctei	1839	Africa	Cape_Verde_Islands	Macroscincus	coctei
Cynisca_leucura	1839	Africa	Ivory_Coast	Cynisca	leucura
Scelarcis_perspicillata	1839	Africa	Morocco	Scelarcis	perspicillata
Trachylepis_perrotetii	1839	Africa	Senegal	Trachylepis	perrotetii
Trachylepis_seychellensis	1839	Africa	Seychelles	Trachylepis	seychellensis
Pedioplanis_lineoocellata	1839	Africa	South_Africa	Pedioplanis	lineoocellata
Pedioplanis_burchelli	1839	Africa	South_Africa	Pedioplanis	burchelli
Pedioplanis_namaquensis	1839	Africa	South_Africa	Pedioplanis	namaquensis
Leptotyphlops_nigricans	1839	Africa	South_Africa	Leptotyphlops	nigricans
Rhinotyphlops_lalandei	1839	Africa	South_Africa	Rhinotyphlops	lalandei
Bitis_caudalis	1839	Africa	South_Africa	Bitis	caudalis
Philothamnus_semivariegatus	1840	Africa	South_Africa	Philothamnus	semivariegatus
Hemidactylus_fasciatus	1842	Africa	West_Africa*	Hemidactylus	fasciatus
Atractaspis_irregularis	1843	Africa	Gabon	Atractaspis	irregularis
Rhamphiophis_oxyrhynchus	1843	Africa	Ghana	Rhamphiophis	oxyrhynchus
Prosymna_meleagris	1843	Africa	Guinea	Prosymna	meleagris
Chamaesaura_aenea	1843	Africa	South_Africa	Chamaesaura	aenea
Lamprophis_guttatus	1843	Africa	South_Africa	Lamprophis	guttatus
Typhlops_congestus	1844	Africa	Central_Africa	Typhlops	congestus
Chamaeleo_gracilis	1844	Africa	Equatorial_Guinea	Chamaeleo	gracilis
Psammophis_phillipsi	1844	Africa	Liberia	Psammophis	phillipsi
Cordylosaurus_subtessellatus	1844	Africa	Namibia	Cordylosaurus	subtessellatus
Trachylepis_striata	1844	Africa	Namibia	Trachylepis	striata
Platysaurus_capensis	1844	Africa	South_Africa	Platysaurus	capensis
Cordylus_giganteus	1844	Africa	South_Africa	Cordylus	giganteus
Feylinia_currori	1845	Africa	Angola	Feylinia	currori
Chamaeleo_affinis	1845	Africa	Ethiopia	Chamaeleo	affinis
Afroablepharus_africanus	1845	Africa	Principe	Afroablepharus	africanus
Pachydactylus_maculatus	1845	Africa	South_Africa	Pachydactylus	maculatus
Bradypodion_ventrale	1845	Africa	South_Africa	Bradypodion	ventrale
Chioninia_stangeri	1845	Africa	West_Africa	Chioninia	stangeri
Trachylepis_maculilabris	1845	Africa	West_Africa	Trachylepis	maculilabris
Chondrodactylus_bibronii	1846	Africa	Mozambique	Chondrodactylus	bibronii
Pachydactylus_capensis	1846	Africa	South_Africa	Pachydactylus	capensis
Typhlops_bibronii	1846	Africa	South_Africa	Typhlops	bibronii
Rhinotyphlops_schlegelii	1847	Africa	Mozambique	Rhinotyphlops	schlegelii
Typhlops_fornasinii	1847	Africa	Mozambique	Typhlops	fornasinii
Amplorhinus_multimaculatus	1847	Africa	Mozambique	Amplorhinus	multimaculatus
Dipsina_multimaculata	1847	Africa	South_Africa	Dipsina	multimaculata
Macrovipera_mauritanica	1848	Africa	Algeria	Macrovipera	mauritanica
Calabaria_reinhardtii	1848	Africa	Ghana	Calabaria	reinhardtii
Monopeltis_capensis	1848	Africa	Mozambique	Monopeltis	capensis
Elapsoidea_sundevallii	1848	Africa	South_Africa	Elapsoidea	sundevallii
Philothamnus_natalensis	1848	Africa	South_Africa	Philothamnus	natalensis
Mehelya_poensis	1849	Africa	Bioko	Mehelya	poensis
Dasypeltis_fasciata	1849	Africa	Sierra_Leone	Dasypeltis	fasciata
Homopholis_walbergii	1849	Africa	South_Africa	Homopholis	walbergii
Pachydactylus_rugosus	1849	Africa	South_Africa	Pachydactylus	rugosus
Pachydactylus_formosus	1849	Africa	South_Africa	Pachydactylus	formosus
Pachydactylus_mariquensis	1849	Africa	South_Africa	Pachydactylus	mariquensis
Lygodactylus_capensis	1849	Africa	South_Africa	Lygodactylus	capensis
Gerrhosaurus_validus	1849	Africa	South_Africa	Gerrhosaurus	validus
Acontias_plumbeus	1849	Africa	South_Africa	Acontias	plumbeus
Afroablepharus_wahlbergi	1849	Africa	South_Africa	Afroablepharus	wahlbergi
Pedioplanis_laticeps	1849	Africa	South_Africa	Pedioplanis	laticeps
Bradypodion_gutturale	1849	Africa	South_Africa	Bradypodion	gutturale
Acanthocercus_atricollis	1849	Africa	South_Africa	Acanthocercus	atricollis
Atractaspis_bibronii	1849	Africa	South_Africa	Atractaspis	bibronii
Aparallactus_capensis	1849	Africa	South_Africa	Aparallactus	capensis
Dendroaspis_angusticeps	1849	Africa	South_Africa	Dendroaspis	angusticeps
Thelotornis_capensis	1849	Africa	South_Africa	Thelotornis	capensis
Mochlus_sundevalli	1849	Africa	Tanzania	Mochlus	sundevalli
Chamaeleo_calyptratus	1851	Africa	Egypt	Chamaeleo	calyptratus
Atheris_chlorechis	1851	Africa	Ghana	Atheris	chlorechis
Hemitheconyx_caudicinctus	1851	Africa	Senegal	Hemitheconyx	caudicinctus
Gerrhosaurus_major	1851	Africa	Tanzania	Gerrhosaurus	major
Chalcides_viridanus	1851	Africa	Togo	Chalcides	viridanus
Lytorhynchus_diadema	1854	Africa	Algeria	Lytorhynchus	diadema
Hormonotus_modestus	1854	Africa	Democtatic_republic_of_Congo	Hormonotus	modestus
Pseudoboodon_lemniscatus	1854	Africa	Ethiopia	Pseudoboodon	lemniscatus
Hemidactylus_angulatus	1854	Africa	Gabon	Hemidactylus	angulatus
Atheris_squamigera	1854	Africa	Gabon	Atheris	squamigera
Bitis_gabonica	1854	Africa	Gabon	Bitis	gabonica
Lamprophis_virgatus	1854	Africa	Gabon	Lamprophis	virgatus
Naja_annulata	1854	Africa	Gabon	Naja	annulata
Lamprophis_lineatus	1854	Africa	Ghana	Lamprophis	lineatus
Psammophis_punctulatus	1854	Africa	Kenya	Psammophis	punctulatus
Atractaspis_corpulenta	1854	Africa	Liberia	Atractaspis	corpulenta
Scelotes_arenicolus	1854	Africa	Mozambique	Scelotes	arenicolus
Lygosoma_afrum	1854	Africa	Mozambique	Lygosoma	afrum
Ichnotropis_squamulosa	1854	Africa	Mozambique	Ichnotropis	squamulosa
Leptotyphlops_scutifrons	1854	Africa	Mozambique	Leptotyphlops	scutifrons
Leptotyphlops_longicaudus	1854	Africa	Mozambique	Leptotyphlops	longicaudus
Duberria_variegata	1854	Africa	Mozambique	Duberria	variegata
Naja_annulifera	1854	Africa	Mozambique	Naja	annulifera
Naja_mossambica	1854	Africa	Mozambique	Naja	mossambica
Pachydactylus_punctatus	1854	Africa	Namibia	Pachydactylus	punctatus
Lamprophis_inornatus	1854	Africa	South_Africa	Lamprophis	inornatus
Psammophis_lineatus	1854	Africa	Sudan	Psammophis	lineatus
Trachylepis_margaritifera	1854	Africa	Tanzania	Trachylepis	margaritifera
Natriciteres_olivacea	1854	Africa	Tanzania	Natriciteres	olivacea
Agama_armata	1855	Africa	Mozambique	Agama	armata
Proatheris_superciliaris	1855	Africa	Mozambique	Proatheris	superciliaris
Phelsuma_ocellata	1855	Africa	South_Africa	Phelsuma	ocellata
Lamprophis_olivaceus	1856	Africa	Gabon	Lamprophis	olivaceus
Hapsidophrys_lineatus	1856	Africa	Ghana	Hapsidophrys	lineatus
Boiga_pulverulenta	1856	Africa	Sao_Tome	Boiga	pulverulenta
Chalcides_sphenopsiformis	1856	Africa	Senegal	Chalcides	sphenopsiformis
Philothamnus_heterodermus	1857	Africa	Cameroon	Philothamnus	heterodermus
Naja_melanoleuca	1857	Africa	Democratic_Republic_Of_Congo	Naja	melanoleuca
Gerrhosaurus_nigrolineatus	1857	Africa	Gabon	Gerrhosaurus	nigrolineatus
Poromera_fordii	1857	Africa	Gabon	Poromera	fordii
Lycophidion_laterale	1857	Africa	Gabon	Lycophidion	laterale
Dipsadoboa_unicolor	1858	Africa	West_Africa*	Dipsadoboa	unicolor
Aparallactus_modestus	1859	Africa	West_Africa	Aparallactus	modestus
Polemon_acanthias	1860	Africa	Sierra_Leone	Polemon	acanthias
Leptotyphlops_macrorhynchus	1860	Africa	Sudan	Leptotyphlops	macrorhynchus
Pristurus_crucifer	1861	Africa	Ethiopia	Pristurus	crucifer
Scelotes_caffer	1861	Africa	South_Africa	Scelotes	caffer
Leptotyphlops_conjunctus	1861	Africa	South_Africa	Leptotyphlops	conjunctus
Afronatrix_anoscopus	1861	Africa	West_Africa*	Afronatrix	anoscopus
Causus_defilippii	1862	Africa	Ghana	Causus	defilippii
Prosymna_janii	1862	Africa	Mozambique	Prosymna	janii
Cordylus_pustulatus	1862	Africa	Namibia	Cordylus	pustulatus
Trachylepis_acutilabris	1862	Africa	Namibia	Trachylepis	acutilabris
Agama_planiceps	1862	Africa	Namibia	Agama	planiceps
Lycodonomorphus_laevissimus	1862	Africa	South_Africa	Lycodonomorphus	laevissimus
Causus_resimus	1862	Africa	Sudan	Causus	resimus
Holaspis_guentheri	1863	Africa	Africa	Holaspis	guentheri
Philothamnus_nitidus	1863	Africa	Cameroon	Philothamnus	nitidus
Lycophidion_nigromaculatum	1863	Africa	Guinea	Lycophidion	nigromaculatum
Bothrophthalmus_lineatus	1863	Africa	Guinea	Bothrophthalmus	lineatus
Bothrophthalmus_brunneus	1863	Africa	Guinea	Bothrophthalmus	brunneus
Philothamnus_hoplogaster	1863	Africa	South_Africa	Philothamnus	hoplogaster
Chamaeleo_laevigatus	1863	Africa	Sudan	Chamaeleo	laevigatus
Hemorrhois_algirus	1863	Africa	Tunisia	Hemorrhois	algirus
Eumeces_algeriensis	1864	Africa	Algeria	Eumeces	algeriensis
Chondrodactylus_turneri	1864	Africa	Mozambique	Chondrodactylus	turneri
Dendroaspis_polylepis	1864	Africa	Mozambique	Dendroaspis	polylepis
Typhlops_lineolatus	1864	Africa	Sierra_Leone	Typhlops	lineolatus
Scincopus_fasciatus	1864	Africa	Sudan	Scincopus	fasciatus
Psammophis_trigrammus	1865	Africa	Angola	Psammophis	trigrammus
Chamaeleo_melleri	1865	Africa	Malawi	Chamaeleo	melleri
Letheobia_obtusa	1865	Africa	Mozambique	Letheobia	obtusa
Bradypodion_melanocephalum	1865	Africa	South_Africa	Bradypodion	melanocephalum
Gerrhosaurus_multilineatus	1866	Africa	Angola	Gerrhosaurus	multilineatus
Sepsina_angolensis	1866	Africa	Angola	Sepsina	angolensis
Chamaeleo_quilensis	1866	Africa	Angola	Chamaeleo	quilensis
Grayia_ornata	1866	Africa	Angola	Grayia	ornata
Typhlops_angolensis	1866	Africa	Kenya	Typhlops	angolensis
Atractaspis_microlepidota	1866	Africa	West_Africa	Atractaspis	microlepidota
Meroles_reticulatus	1867	Africa	Angola	Meroles	reticulatus
Meroles_anchietae	1867	Africa	Angola	Meroles	anchietae
Trachylepis_varia	1867	Africa	Eritrea	Trachylepis	varia
Trachylepis_occidentalis	1867	Africa	Namibia	Trachylepis	occidentalis
Trachylepis_sulcata	1867	Africa	Namibia	Trachylepis	sulcata
Meroles_cuneirostris	1867	Africa	Namibia	Meroles	cuneirostris
Psammophis_notostictus	1867	Africa	Namibia	Psammophis	notostictus
Psammophylax_tritaeniatus	1868	Africa	Democratic_Republic_Of_Congo	Psammophylax	tritaeniatus
Pythonodipsas_carinata	1868	Africa	Namibia	Pythonodipsas	carinata
Typhlops_elegans	1868	Africa	Principe	Typhlops	elegans
Rieppeleon_kerstenii	1868	Africa	Somalia	Rieppeleon	kerstenii
Rhoptropus_afer	1869	Africa	Botswana	Rhoptropus	afer
Leptotyphlops_bicolor	1869	Africa	Ghana	Leptotyphlops	bicolor
Cordylus_tropidosternum	1869	Africa	Mozambique	Cordylus	tropidosternum
Colopus_wahlbergii	1869	Africa	Namibia	Colopus	wahlbergii
Meroles_suborbitalis	1869	Africa	Namibia	Meroles	suborbitalis
Macrelaps_microlepidotus	1869	Africa	South_Africa	Macrelaps	microlepidotus
Eumecia_anchietae	1870	Africa	Angola	Eumecia	anchietae
Hemidactylus_bouvieri	1870	Africa	Cape_Verde_Islands	Hemidactylus	bouvieri
Scaphiophis_albopunctatus	1870	Africa	Ghana	Scaphiophis	albopunctatus
Lygosoma_lineolatum	1870	Africa	Mozambique	Lygosoma	lineolatum
Chondrodactylus_angulifer	1870	Africa	Namibia	Chondrodactylus	angulifer
Trachylepis_variegata	1870	Africa	Namibia	Trachylepis	variegata
Lygodactylus_picturatus	1871	Africa	Tanzania	Lygodactylus	picturatus
Psammophis_angolensis	1872	Africa	Angola	Psammophis	angolensis
Atractaspis_micropholis	1872	Africa	Nigeria	Atractaspis	micropholis
Heliobolus_spekii	1872	Africa	Tanzania	Heliobolus	spekii
Ophisaurus_koellikeri	1873	Africa	Algeria	Ophisaurus	koellikeri
Hemidactylus_longicephalus	1873	Africa	Angola	Hemidactylus	longicephalus
Typhlacontias_punctatissimus	1873	Africa	Angola	Typhlacontias	punctatissimus
Hemirhagerrhis_viperina	1873	Africa	Angola	Hemirhagerrhis	viperina
Panaspis_breviceps	1873	Africa	Gabon	Panaspis	breviceps
Lygodactylus_gutturalis	1873	Africa	Guinea-Bissao	Lygodactylus	gutturalis
Melanoseps_ater	1873	Africa	Tanzania	Melanoseps	ater
Amblyodipsas_polylepis	1873	Africa	Tanzania	Amblyodipsas	polylepis
Lacertaspis_reichenowi	1874	Africa	Cameroon	Lacertaspis	reichenowi
Rhampholeon_spectrum	1874	Africa	Cameroon	Rhampholeon	spectrum
Chamaeleo_montium	1874	Africa	Cameroon	Chamaeleo	montium
Bothrolycus_ater	1874	Africa	Cameroon	Bothrolycus	ater
Chioninia_fogoensis	1874	Africa	Cape_Verde_Islands	Chioninia	fogoensis
Philochortus_spinalis	1874	Africa	Eritrea	Philochortus	spinalis
Quedenfeldtia_trachyblepharus	1874	Africa	Morocco	Quedenfeldtia	trachyblepharus
Chalcides_mionecton	1874	Africa	Morocco	Chalcides	mionecton
Agama_impalearis	1874	Africa	Morocco	Agama	impalearis
Tarentola_gigas	1875	Africa	Cape_Verde_Islands	Tarentola	gigas
Tarentola_ephippiata	1875	Africa	West_Africa	Tarentola	ephippiata
Bradypodion_dracomontanum	1876	Africa	South_Africa	Bradypodion	dracomontanum
Melanoseps_occidentalis	1877	Africa	Cameroon	Melanoseps	occidentalis
Hemirhagerrhis_hildebrandtii	1878	Africa	Kenya	Hemirhagerrhis	hildebrandtii
Microacontias_lineatus	1879	Africa	South_Africa	Microacontias	lineatus
Ptyodactylus_oudrii	1880	Africa	Algeria	Ptyodactylus	oudrii
Timon_pater	1880	Africa	Algeria	Timon	pater
Tropiocolotes_tripolitanus	1880	Africa	Libya	Tropiocolotes	tripolitanus
Psammodromus_blanci	1880	Africa	Morocco	Psammodromus	blanci
Uromastyx_princeps	1880	Africa	Somalia	Uromastyx	princeps
Polemon_collaris	1881	Africa	Democratic_Republic_Of_Congo	Polemon	collaris
Psammophis_biseriatus	1881	Africa	Kenya	Psammophis	biseriatus
Mesalina_simoni	1881	Africa	Morocco	Mesalina	simoni
Lygodactylus_thomensis	1881	Africa	Sao_Tom_	Lygodactylus	thomensis
Hemidactylus_homoeolepis	1881	Africa	Somalia	Hemidactylus	homoeolepis
Podarcis_erhardii	1882	Africa	Albania	Podarcis	erhardii
Elapsoidea_semiannulata	1882	Africa	Angola	Elapsoidea	semiannulata
Philothamnus_angolensis	1882	Africa	Angola	Philothamnus	angolensis
Gallotia_atlantica	1882	Africa	Canary_Islands	Gallotia	atlantica
Polemon_notatus	1882	Africa	Democratic_Republic_Of_Congo	Polemon	notatus
Psammophis_subtaeniatus	1882	Africa	Mozambique	Psammophis	subtaeniatus
Psammophis_mossambicus	1882	Africa	Mozambique	Psammophis	mossambicus
Trachylepis_spilogaster	1882	Africa	Namibia	Trachylepis	spilogaster
Philothamnus_thomensis	1882	Africa	Sao_Tome	Philothamnus	thomensis
Agama_rueppelli	1882	Africa	Somalia	Agama	rueppelli
Chamaeleo_bitaeniatus	1884	Africa	Kenya	Chamaeleo	bitaeniatus
Rhamphiophis_rubropunctatus	1884	Africa	Tanzania	Rhamphiophis	rubropunctatus
Agama_doriae	1885	Africa	Eritrea	Agama	doriae
Pachydactylus_oshaughnessyi	1885	Africa	Zimbabwe	Pachydactylus	oshaughnessyi
Hemidactylus_greefii	1886	Africa	Sao_Tome	Hemidactylus	greefii
Agama_boulengeri	1886	Africa	Senegal	Agama	boulengeri
Gastropholis_vittata	1886	Africa	Tanzania	Gastropholis	vittata
Tarentola_neglecta	1887	Africa	Algeria	Tarentola	neglecta
Psammophis_leopardinus	1887	Africa	Angola	Psammophis	leopardinus
Chioninia_vaillantii	1887	Africa	Cape_Verde_Islands	Chioninia	vaillantii
Walterinnesia_aegyptia	1887	Africa	Egypt	Walterinnesia	aegyptia
Mehelya_stenophthalmus	1887	Africa	Ghana	Mehelya	stenophthalmus
Ophisops_occidentalis	1887	Africa	Morocco	Ophisops	occidentalis
Feylinia_polylepis	1887	Africa	Principe	Feylinia	polylepis
Trachylepis_wrightii	1887	Africa	Seychelles	Trachylepis	wrightii
Cordylus_vittifer	1887	Africa	South_Africa	Cordylus	vittifer
Typhlosaurus_vermis	1887	Africa	South_Africa	Typhlosaurus	vermis
Typhlosaurus_lineatus	1887	Africa	South_Africa	Typhlosaurus	lineatus
Scelotes_anguineus	1887	Africa	South_Africa	Scelotes	anguineus
Bradypodion_damaranum	1887	Africa	South_Africa	Bradypodion	damaranum
Lamprophis_fiskii	1887	Africa	South_Africa	Lamprophis	fiskii
Kinyongia_fischeri	1887	Africa	Tanzania	Kinyongia	fischeri
Psammophylax_acutus	1888	Africa	Angola	Psammophylax	acutus
Mehelya_nyassae	1888	Africa	Malawi	Mehelya	nyassae
Pachydactylus_laevigatus	1888	Africa	Namibia	Pachydactylus	laevigatus
Bitis_peringueyi	1888	Africa	Namibia	Bitis	peringueyi
Coluber_dorri	1888	Africa	Senegal	Coluber	dorri
Pachydactylus_fasciatus	1888	Africa	South_Africa	Pachydactylus	fasciatus
Amblyodipsas_dimidiata	1888	Africa	Tanzania	Amblyodipsas	dimidiata
Elapsoidea_nigra	1888	Africa	Tanzania	Elapsoidea	nigra
Gallotia_simonyi	1889	Africa	Canary_Islands	Gallotia	simonyi
Timon_tangitanus	1889	Africa	Morocco	Timon	tangitanus
Gonionotophis_brussauxi	1889	Africa	Republic_of_Congo	Gonionotophis	brussauxi
Bradypodion_caffrum	1889	Africa	South_Africa	Bradypodion	caffrum
Homopholis_fasciata	1890	Africa	Kenya	Homopholis	fasciata
Chamaeleo_roperi	1890	Africa	Kenya	Chamaeleo	roperi
Chalcides_polylepis	1890	Africa	Morocco	Chalcides	polylepis
Rhinotyphlops_newtoni	1890	Africa	Sao_Tome	Rhinotyphlops	newtoni
Tarentola_deserti	1891	Africa	Algeria	Tarentola	deserti
